NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION,FULL_DESCRIPTION,TARGET
Loma Linda University Health,10000+ Employees,"Loma Linda, CA",Health Care Services & Hospitals,3.8,3.6,3.8,3.6,3.0,3.3,3.5,440,"Loma Linda University Medical Center (LLUMC) operates some of the largest clinical programs in the United States in areas such as neonatal care and outpatient surgery and is recognized as the international leader in infant heart transplantation and proton treatments for cancer. Each year, the institution admits more than 33,000 inpatients and serves roughly half a million outpatients. LLUMC is the only level one regional trauma center for Inyo, Mono, Riverside, and San Bernardino counties.", ,"Loma Linda University Medical Center (LLUMC) operates some of the largest clinical programs in the United States in areas such as neonatal care and outpatient surgery and is recognized as the international leader in infant heart transplantation and proton treatments for cancer. Each year, the institution admits more than 33,000 inpatients and serves roughly half a million outpatients. LLUMC is the only level one regional trauma center for Inyo, Mono, Riverside, and San Bernardino counties. ",0
F5,5001 to 10000 Employees,"Seattle, WA",Computer Hardware & Software,3.9,4.2,4.0,4.0,3.6,4.2,3.6,1002,"Today, business is about people, applications, and the services they need to work more efficiently. F5, a global company entrusted by more than 16,000 of the world’s largest enterprises and government, develops technology solutions that keep applications running smoothly. F5 products are highly programmable and integrate into any data environment, expanding IT capabilities so that software networking defined (SDN) deployments are seamless and scalable. As our digital world becomes more complex, F5 is there, ready with innovative technology that resolves application performance and security challenges of today’s mobile workforce.

**Phishing alert**
Please note that F5 only contacts candidates through F5 email address (ending with @f5.com) or auto email notification from Yello/Workday (ending with f5.com or @myworkday.com).","Mission: F5 (NASDAQ: FFIV) gives the world’s largest businesses, service providers, governments, and consumer brands the freedom to securely deliver every app, anywhere—with confidence. F5 delivers cloud and security application services that enable organizations to embrace the infrastructure they choose without sacrificing speed and control. For more information, go to f5.com. You can also follow @f5networks on Twitter or visit us on LinkedIn and Facebook for more information about F5, its partners, and technologies.
F5 and NGINX are trademarks and service marks of F5 Networks, Inc., in the U.S. and other countries. All other product and company names herein may be trademarks of their respective owners.","Today, business is about people, applications, and the services they need to work more efficiently. F5, a global company entrusted by more than 16,000 of the world’s largest enterprises and government, develops technology solutions that keep applications running smoothly. F5 products are highly programmable and integrate into any data environment, expanding IT capabilities so that software networking defined (SDN) deployments are seamless and scalable. As our digital world becomes more complex, F5 is there, ready with innovative technology that resolves application performance and security challenges of today’s mobile workforce.

**Phishing alert**
Please note that F5 only contacts candidates through F5 email address (ending with @f5.com) or auto email notification from Yello/Workday (ending with f5.com or @myworkday.com).Mission: F5 (NASDAQ: FFIV) gives the world’s largest businesses, service providers, governments, and consumer brands the freedom to securely deliver every app, anywhere—with confidence. F5 delivers cloud and security application services that enable organizations to embrace the infrastructure they choose without sacrificing speed and control. For more information, go to f5.com. You can also follow @f5networks on Twitter or visit us on LinkedIn and Facebook for more information about F5, its partners, and technologies.
F5 and NGINX are trademarks and service marks of F5 Networks, Inc., in the U.S. and other countries. All other product and company names herein may be trademarks of their respective owners.",1
"Oakley
Part of Luxottica",1001 to 5000 Employees,"Foothill Ranch, CA",Consumer Products Manufacturing,3.9,4.1,4.0,3.9,3.4,3.4,2.8,713,"Oakley sells so many sunglasses, it goggles the mind. The company makes and sells performance sunglasses and ski goggles for sports and fashion enthusiasts. Oakley is known for its lens technologies, including 3D, and especially for its High-Definition Optics. The brand boasts a retail network of more than 160 Oakley ""O"" and Vaults stores in malls throughout the US, and in Europe, Mexico, and Asia-Pacific region. It also sells its wares online and at Dillard's, Sunglass Hut, sporting goods stores and other specialty retail outlets. Oakley also markets a line of apparel and footwear, as well as backpacks and accessories for sports enthusiasts. Founded in 1975, Oakley is owned by Italian eyewear giant Luxottica.", ,"Oakley sells so many sunglasses, it goggles the mind. The company makes and sells performance sunglasses and ski goggles for sports and fashion enthusiasts. Oakley is known for its lens technologies, including 3D, and especially for its High-Definition Optics. The brand boasts a retail network of more than 160 Oakley ""O"" and Vaults stores in malls throughout the US, and in Europe, Mexico, and Asia-Pacific region. It also sells its wares online and at Dillard's, Sunglass Hut, sporting goods stores and other specialty retail outlets. Oakley also markets a line of apparel and footwear, as well as backpacks and accessories for sports enthusiasts. Founded in 1975, Oakley is owned by Italian eyewear giant Luxottica. ",1
St. Dominic's,1001 to 5000 Employees,"Jackson, MS",Health Care Services & Hospitals,4.0,4.5,4.1,3.5,3.3,3.5,3.4,126,"Since 1946, when the Dominican Sisters operated the Jackson Infirmary, to St. Dominic's burgeoning reputation as a premier healthcare organization, the human factor has been a vital part of St. Dominic's mission. Our Christian healing ministry goes hand in hand with the latest medical advancements to produce a level of care that addresses the specific needs of each patient, from the physical to the spiritual.","Mission: St. Dominic’s recognizes its basic participation in the mission of the Church, which involves two main ministries: Education and Health Care. Three activities: Communicating a Christian message, Establishing Community and Performing Service express our mission of Christian healing.","Since 1946, when the Dominican Sisters operated the Jackson Infirmary, to St. Dominic's burgeoning reputation as a premier healthcare organization, the human factor has been a vital part of St. Dominic's mission. Our Christian healing ministry goes hand in hand with the latest medical advancements to produce a level of care that addresses the specific needs of each patient, from the physical to the spiritual.Mission: St. Dominic’s recognizes its basic participation in the mission of the Church, which involves two main ministries: Education and Health Care. Three activities: Communicating a Christian message, Establishing Community and Performing Service express our mission of Christian healing.",1
"Janie and Jack
Part of Gap Inc.",1001 to 5000 Employees,"San Francisco, CA","Department, Clothing, & Shoe Stores",3.8,4.3,3.7,4.3,3.6,3.4,3.2,111,"Iconic. Approachable. Connected. These are some of the ideas that guide our every day at Janie and Jack. We set ourselves apart with outstanding quality and great care to every detail, from our clothing to our customer service to the people we work with. Are you ready to be a part of the Janie and Jack story?", ,"Iconic. Approachable. Connected. These are some of the ideas that guide our every day at Janie and Jack. We set ourselves apart with outstanding quality and great care to every detail, from our clothing to our customer service to the people we work with. Are you ready to be a part of the Janie and Jack story? ",1
"Our Lady of the Lake (Louisiana)
Part of Franciscan Missionaries of Our Lady Health System",1001 to 5000 Employees,"Baton Rouge, LA",Health Care Services & Hospitals,3.9,4.5,4.2,3.8,3.4,3.9,3.8,196,"Our Lady of the Lake is part of Louisiana’s largest, most advanced and respected healthcare system- the Franciscan Missionaries of Our Lady Health System.

Our Lady of the Lake is a not-for-profit 800-bed medical center in Baton Rouge, Louisiana with more than 7,300 employees committed to building a healthy community through excellence in patient care and education. With a Regional Medical Center, dedicated Children’s Hospital, and 300-provider Physician Group, Our Lady of the Lake provides comprehensive healthcare services for common to complex conditions. Our Lady of the Lake is a primary teaching site for graduate medical education programs and is recognized in the areas of heart and vascular, trauma and emergency care, stroke, cancer care, minimally-invasive procedures and more. For more information, visit www.ololrmc.com.", ,"Our Lady of the Lake is part of Louisiana’s largest, most advanced and respected healthcare system- the Franciscan Missionaries of Our Lady Health System.

Our Lady of the Lake is a not-for-profit 800-bed medical center in Baton Rouge, Louisiana with more than 7,300 employees committed to building a healthy community through excellence in patient care and education. With a Regional Medical Center, dedicated Children’s Hospital, and 300-provider Physician Group, Our Lady of the Lake provides comprehensive healthcare services for common to complex conditions. Our Lady of the Lake is a primary teaching site for graduate medical education programs and is recognized in the areas of heart and vascular, trauma and emergency care, stroke, cancer care, minimally-invasive procedures and more. For more information, visit www.ololrmc.com. ",1
DSM,10000+ Employees,"Heerlen, Netherlands",Chemical Manufacturing,3.9,3.7,3.7,3.6,3.0,3.9,3.1,698,"DSM – Bright Science. Brighter Living.

Royal DSM N.V. is a global science-based company active in health, nutrition and materials. By connecting our unique competences in Life Sciences and Materials Sciences DSM is driving economic prosperity, environmental progress and social advances to create sustainable value for all stakeholders. DSM delivers innovative solutions that nourish, protect and improve performance in global markets such as food and dietary supplements, personal care, feed, pharmaceuticals, medical devices, automotive, paints, electrical and electronics, life protection, alternative energy and bio-based materials. DSM’s 22,000 employees deliver annual net sales of around € 9 billion. The company is listed on NYSE Euronext. More information can be found at www.dsm.com.","Mission: DSM's wide diversity of disciplines makes it possible to offer employees a great variety of roles throughout their career. At DSM we stimulate people to determine their own career path and we encourage international careers. We strive to be an Employer of Choice and ensure that our employees are nurtured and given the opportunity to develop their talents. To learn more about DSM’s HR vision and policy, please visit our website at www.dsm.com/careers","DSM – Bright Science. Brighter Living.

Royal DSM N.V. is a global science-based company active in health, nutrition and materials. By connecting our unique competences in Life Sciences and Materials Sciences DSM is driving economic prosperity, environmental progress and social advances to create sustainable value for all stakeholders. DSM delivers innovative solutions that nourish, protect and improve performance in global markets such as food and dietary supplements, personal care, feed, pharmaceuticals, medical devices, automotive, paints, electrical and electronics, life protection, alternative energy and bio-based materials. DSM’s 22,000 employees deliver annual net sales of around € 9 billion. The company is listed on NYSE Euronext. More information can be found at www.dsm.com.Mission: DSM's wide diversity of disciplines makes it possible to offer employees a great variety of roles throughout their career. At DSM we stimulate people to determine their own career path and we encourage international careers. We strive to be an Employer of Choice and ensure that our employees are nurtured and given the opportunity to develop their talents. To learn more about DSM’s HR vision and policy, please visit our website at www.dsm.com/careers",0
Visiting Angels,10000+ Employees,"Bryn Mawr, PA",Health Care Services & Hospitals,3.9,4.2,4.0,3.9,3.8,3.1,3.5,752,"Visiting Angels “Americas Choice in Senior Home Care” is the Nation’s Premier company in Senior Home Care.
With 600 offices Nationwide serving the Senior Community with Aids to Daily Living.

At Visiting Angels, we understand you want top quality senior home care services for your loved one. You are searching for a qualified, professional elder care provider who will treat your family member with compassion, respect and dignity. We can help you find the senior home care provider that meets all your needs. Our senior home care providers are professionals with the training and skills you have been searching for. We’ll help you find a senior home care provider who can care for all your loved one’s health and well-being needs.", ,"Visiting Angels “Americas Choice in Senior Home Care” is the Nation’s Premier company in Senior Home Care.
With 600 offices Nationwide serving the Senior Community with Aids to Daily Living.

At Visiting Angels, we understand you want top quality senior home care services for your loved one. You are searching for a qualified, professional elder care provider who will treat your family member with compassion, respect and dignity. We can help you find the senior home care provider that meets all your needs. Our senior home care providers are professionals with the training and skills you have been searching for. We’ll help you find a senior home care provider who can care for all your loved one’s health and well-being needs. ",1
Old Dominion Freight,10000+ Employees,"Thomasville, NC",Trucking,3.9,3.9,3.6,3.2,3.4,4.3,3.5,566,"Old Dominion Freight Line, Inc. (NASDAQ: ODFL) is a leading, less-than-truckload (“LTL”), union-free company providing premium service to all its customers. Founded in 1934 Old Dominion Freight Line started out as a single truck running a 94-mile route in Virginia, over the last 80+ years we’ve led the way to become a national LTL freight leader and global transportation company. The values that drove our founder’s decades ago still inspire us today. Whether it’s on the road, on the docks, in the office, or at one of our cook outs or many celebrations, there’s an attitude of sharing, caring and smiling. It’s an attitude our customers and team members value and appreciate too… one that makes us more than just a freight carrier. It makes us a family. A family that helps the world keep promises.", ,"Old Dominion Freight Line, Inc. (NASDAQ: ODFL) is a leading, less-than-truckload (“LTL”), union-free company providing premium service to all its customers. Founded in 1934 Old Dominion Freight Line started out as a single truck running a 94-mile route in Virginia, over the last 80+ years we’ve led the way to become a national LTL freight leader and global transportation company. The values that drove our founder’s decades ago still inspire us today. Whether it’s on the road, on the docks, in the office, or at one of our cook outs or many celebrations, there’s an attitude of sharing, caring and smiling. It’s an attitude our customers and team members value and appreciate too… one that makes us more than just a freight carrier. It makes us a family. A family that helps the world keep promises. ",0
Rabobank,10000+ Employees,"Utrecht, Netherlands",Banks & Credit Unions,3.9,4.0,3.8,4.1,3.3,3.7,3.4,926,"The Rabobank Group is one of the world’s most leading, sound and sustainable financial institutions. With our roots in the Netherlands, the Rabobank Group has grown in recent decades into an international financial services provider that has activities in the field of banking, asset management, leasing, insurance and real estate.", ,"The Rabobank Group is one of the world’s most leading, sound and sustainable financial institutions. With our roots in the Netherlands, the Rabobank Group has grown in recent decades into an international financial services provider that has activities in the field of banking, asset management, leasing, insurance and real estate. ",0
"Yale New Haven Hospital
Part of Yale New Haven Health System",10000+ Employees,"New Haven, CT",Health Care Services & Hospitals,3.9,3.9,3.4,3.2,3.2,3.7,4.0,313,"Yale New Haven Hospital is the destination for patients who need more than ordinary hospitals can provide. As a Magnet-recognized*, tertiary medical center, with over 1,500 beds, we are the 4th largest hospital in the country, with two acute care campuses, and three emergency departments, including a Level I trauma center. We’re ranked among the best hospitals in the US, and as the primary teaching facility for Yale Schools of Medicine and Nursing, we’re nationally recognized for our commitment to teaching and clinical research.

*Yale New Haven Hospital’s York Street campus and associated ambulatory sites are Magnet-designated by the ANCC.","Mission: YNHHS is committed to innovation and excellence in patient care, teaching, research and service to our communities. The mission reflects the purpose and the underlying commitments that have been a hallmark of YNHH and YNHHS.

YNHHS enhances the lives of those we serve by providing access to integrated, high-value, patient-centered care in collaboration with others who share our values.","Yale New Haven Hospital is the destination for patients who need more than ordinary hospitals can provide. As a Magnet-recognized*, tertiary medical center, with over 1,500 beds, we are the 4th largest hospital in the country, with two acute care campuses, and three emergency departments, including a Level I trauma center. We’re ranked among the best hospitals in the US, and as the primary teaching facility for Yale Schools of Medicine and Nursing, we’re nationally recognized for our commitment to teaching and clinical research.

*Yale New Haven Hospital’s York Street campus and associated ambulatory sites are Magnet-designated by the ANCC.Mission: YNHHS is committed to innovation and excellence in patient care, teaching, research and service to our communities. The mission reflects the purpose and the underlying commitments that have been a hallmark of YNHH and YNHHS.

YNHHS enhances the lives of those we serve by providing access to integrated, high-value, patient-centered care in collaboration with others who share our values.",0
Deaconess,5001 to 10000 Employees,"Evansville, IN",Health Care Services & Hospitals,4.0,4.1,3.8,3.5,3.3,3.4,3.8,166,"While it primarily presides over numerous health care facilities in the southwestern corner of Indiana, Deaconess Health System also serves residents in parts of southeastern Illinois and western Kentucky. The system consists of two general acute care hospitals, as well as specialty hospitals for women's health, mental health, and medical rehabilitation. Its flagship Deaconess Hospital has 365 beds and serves as a regional referral center. Deaconess Health also operates a standalone cancer treatment center, medical group practice Deaconess Clinic, and about 20 outpatient and urgent care clinics. Its Deaconess Health Plans unit is a PPO network that contracts with various health insurers.", ,"While it primarily presides over numerous health care facilities in the southwestern corner of Indiana, Deaconess Health System also serves residents in parts of southeastern Illinois and western Kentucky. The system consists of two general acute care hospitals, as well as specialty hospitals for women's health, mental health, and medical rehabilitation. Its flagship Deaconess Hospital has 365 beds and serves as a regional referral center. Deaconess Health also operates a standalone cancer treatment center, medical group practice Deaconess Clinic, and about 20 outpatient and urgent care clinics. Its Deaconess Health Plans unit is a PPO network that contracts with various health insurers. ",1
US Department of Commerce,10000+ Employees,"Washington, DC",Federal Agencies,3.9,4.2,3.4,4.0,3.2,3.8,3.3,359,"What's up, DOC? At the US Department of Commerce (DOC), the answer to that question could go on for a while. A Cabinet-level department, the DOC is responsible for a variety of key government functions, such as fostering domestic and international trade, promoting economic growth and job creation, issuing patents, and supporting technological development. It oversees a dozen bureaus, including the US Census, NOAA, the EDA, and the US Patent and Trademark Office. Leveraging its bureaus it collects and analyzes economic, US population, and other data and serves as an advisor to the president. The DOC's budget is approximately $7.5 billion. The forerunner of the DOC was established in 1903.", ,"What's up, DOC? At the US Department of Commerce (DOC), the answer to that question could go on for a while. A Cabinet-level department, the DOC is responsible for a variety of key government functions, such as fostering domestic and international trade, promoting economic growth and job creation, issuing patents, and supporting technological development. It oversees a dozen bureaus, including the US Census, NOAA, the EDA, and the US Patent and Trademark Office. Leveraging its bureaus it collects and analyzes economic, US population, and other data and serves as an advisor to the president. The DOC's budget is approximately $7.5 billion. The forerunner of the DOC was established in 1903. ",1
Allianz,10000+ Employees,"Munich, Germany",Brokerage Services,3.9,4.0,3.8,3.8,3.3,3.5,3.4,2881,"One of the world's biggest insurers, Allianz SE offers a range of insurance products and services -- including life, health, and property/casualty coverage for individuals and businesses -- through some 100 subsidiaries and affiliates operating all over the globe (though its key markets are France, Germany, Italy, and the US). In addition to selling insurance, Allianz provides retail and institutional asset management services through Allianz Global Investors, private equity investment through Allianz Capital Partners, and banking services through Allianz Bank.", ,"One of the world's biggest insurers, Allianz SE offers a range of insurance products and services -- including life, health, and property/casualty coverage for individuals and businesses -- through some 100 subsidiaries and affiliates operating all over the globe (though its key markets are France, Germany, Italy, and the US). In addition to selling insurance, Allianz provides retail and institutional asset management services through Allianz Global Investors, private equity investment through Allianz Capital Partners, and banking services through Allianz Bank. ",0
Reed Smith,1001 to 5000 Employees,"Pittsburgh, PA",Legal,3.9,4.4,4.4,3.8,3.8,3.8,3.7,250,"Reed Smith has gone global. The firm has about 1,600 lawyers in more than 20 offices in the US, Europe, the Middle East, and the Asia/Pacific region. Although much of the firm's work involves international business transactions, litigation, and regulatory matters, Reed Smith maintains a wide range of practice areas, from bankruptcy and commercial restructuring to intellectual property, life science, and health care offerings. The firm draws clients from numerous industries, including advertising, financial services, pharmaceuticals, and shipping. Reed Smith was founded in 1877.", ,"Reed Smith has gone global. The firm has about 1,600 lawyers in more than 20 offices in the US, Europe, the Middle East, and the Asia/Pacific region. Although much of the firm's work involves international business transactions, litigation, and regulatory matters, Reed Smith maintains a wide range of practice areas, from bankruptcy and commercial restructuring to intellectual property, life science, and health care offerings. The firm draws clients from numerous industries, including advertising, financial services, pharmaceuticals, and shipping. Reed Smith was founded in 1877. ",1
Electrolux,10000+ Employees,"Stockholm, Sweden",Consumer Products Manufacturing,3.9,3.7,3.7,3.6,3.3,3.7,3.4,1497,"Electrolux shapes living for the better by reinventing taste, care and wellbeing experiences, making life more enjoyable and sustainable for millions of people. Through our brands, including Electrolux, AEG, Anova, Frigidaire, Westinghouse and Zanussi, we sell more than 60 million household and professional products in more than 150 markets every year.","Mission: We want to make a change for the better by being the best appliance company in the world, making a positive difference in people’s lives and for our planet. We’re ambitious in what we want to achieve. Reducing our carbon footprint by 50% and increasing material efficiency are two important areas where we want to make a difference in the near future. We believe that by working together to find sustainable solutions that benefit everyone, we will continue to make a positive difference every day.","Electrolux shapes living for the better by reinventing taste, care and wellbeing experiences, making life more enjoyable and sustainable for millions of people. Through our brands, including Electrolux, AEG, Anova, Frigidaire, Westinghouse and Zanussi, we sell more than 60 million household and professional products in more than 150 markets every year.Mission: We want to make a change for the better by being the best appliance company in the world, making a positive difference in people’s lives and for our planet. We’re ambitious in what we want to achieve. Reducing our carbon footprint by 50% and increasing material efficiency are two important areas where we want to make a difference in the near future. We believe that by working together to find sustainable solutions that benefit everyone, we will continue to make a positive difference every day.",0
Orange,10000+ Employees,"Paris, France",Telecommunications Services,3.9,4.0,3.8,4.0,3.5,3.5,3.5,4553,"Orange is one of the world’s leading telecommunications operators with sales of 41 billion euros in 2018 and 148,000 employees worldwide at 30 June 2019, including 89,000 employees in France. The Group has a total customer base of 266 million customers worldwide at 30 June 2018, including 207 million mobile customers and 20 million fixed broadband customers.

The Group is present in 27 countries. Orange is also a leading provider of global IT and telecommunication services to multinational companies, under the brand Orange Business Services. In March 2015, the Group presented its new strategic plan “Essentials2020” which places customer experience at the heart of its strategy with the aim of allowing them to benefit fully from the digital universe and the power of its new generation networks.", ,"Orange is one of the world’s leading telecommunications operators with sales of 41 billion euros in 2018 and 148,000 employees worldwide at 30 June 2019, including 89,000 employees in France. The Group has a total customer base of 266 million customers worldwide at 30 June 2018, including 207 million mobile customers and 20 million fixed broadband customers.

The Group is present in 27 countries. Orange is also a leading provider of global IT and telecommunication services to multinational companies, under the brand Orange Business Services. In March 2015, the Group presented its new strategic plan “Essentials2020” which places customer experience at the heart of its strategy with the aim of allowing them to benefit fully from the digital universe and the power of its new generation networks. ",0
Amadeus,10000+ Employees,"Madrid, Spain",IT Services,4.0,3.6,3.9,4.1,3.4,3.6,3.3,2578,"Travel makes the world a better place. We power the solutions that keep the world of travel moving. Our solutions make the world more connected, efficient and rewarding for travelers and businesses alike.

We are one of the world's top 10 software companies with a global team of 19,000 professionals of 145 nationalities, working across 190 countries.", ,"Travel makes the world a better place. We power the solutions that keep the world of travel moving. Our solutions make the world more connected, efficient and rewarding for travelers and businesses alike.

We are one of the world's top 10 software companies with a global team of 19,000 professionals of 145 nationalities, working across 190 countries. ",0
Yum!,10000+ Employees,"Louisville, KY",Fast-Food & Quick-Service Restaurants,4.0,3.8,3.9,3.6,3.3,3.8,3.4,439,"Yum! Brands, Inc., based in Louisville, Kentucky, has over 45,000 restaurants in more than 135 countries and territories and is one of the Aon Hewitt Top Companies for Leaders in North America. In 2018, Yum! Brands was recognized as part of the inaugural Bloomberg Gender-Equality Index. The company s restaurant brands KFC, Pizza Hut and Taco Bell are global leaders of the chicken, pizza and Mexican-style food categories.

More important than our size is our commitment to breakthrough innovation and the success of our employees. We're proud of the unique culture we've built, one where everyone can be their best self, make a difference and have fun! We believe in our people, trust in their positive intentions, encourage ideas from everyone, and have actively developed a workforce that is diverse in style and background.", ,"Yum! Brands, Inc., based in Louisville, Kentucky, has over 45,000 restaurants in more than 135 countries and territories and is one of the Aon Hewitt Top Companies for Leaders in North America. In 2018, Yum! Brands was recognized as part of the inaugural Bloomberg Gender-Equality Index. The company s restaurant brands KFC, Pizza Hut and Taco Bell are global leaders of the chicken, pizza and Mexican-style food categories.

More important than our size is our commitment to breakthrough innovation and the success of our employees. We're proud of the unique culture we've built, one where everyone can be their best self, make a difference and have fun! We believe in our people, trust in their positive intentions, encourage ideas from everyone, and have actively developed a workforce that is diverse in style and background. ",0
NatWest Group,10000+ Employees,"Edinburgh, United Kingdom",Banks & Credit Unions,3.9,4.2,4.0,4.1,3.5,3.5,3.5,5736,"We’re a business that understands when our customers and people succeed, our communities succeed, and our economy thrives. As part of our purpose, we’re looking at how we can drive change for our communities in enterprise, learning and climate.

As one of the leading supporters of UK business, we’re prioritising enterprise as a force of change. We’re focusing on the people and communities who have traditionally faced the highest barriers to entry and figuring out ways to remove these constraints.

Learning is also key to our continued growth as a company in an ever changing and increasingly digital world. By setting a dynamic and leading learning culture, our employees prosper, and our customers are given the tools to continue to improve their financial capability and confidence.

One of the biggest challenges we all face in our future is climate change. That’s why we’ve put it right at the core of our purpose. We want to champion climate solutions with financing and entrepreneurial support, fully embed climate into our culture and decision making, and be climate positive by 2025.

We’re committed to using our purpose to break down barriers, drive change and ultimately create a great place to work.", ,"We’re a business that understands when our customers and people succeed, our communities succeed, and our economy thrives. As part of our purpose, we’re looking at how we can drive change for our communities in enterprise, learning and climate.

As one of the leading supporters of UK business, we’re prioritising enterprise as a force of change. We’re focusing on the people and communities who have traditionally faced the highest barriers to entry and figuring out ways to remove these constraints.

Learning is also key to our continued growth as a company in an ever changing and increasingly digital world. By setting a dynamic and leading learning culture, our employees prosper, and our customers are given the tools to continue to improve their financial capability and confidence.

One of the biggest challenges we all face in our future is climate change. That’s why we’ve put it right at the core of our purpose. We want to champion climate solutions with financing and entrepreneurial support, fully embed climate into our culture and decision making, and be climate positive by 2025.

We’re committed to using our purpose to break down barriers, drive change and ultimately create a great place to work. ",1
UCB,5001 to 10000 Employees,"Brussels, Belgium",Biotech & Pharmaceuticals,3.9,4.1,3.8,3.8,3.2,3.8,3.3,493,"UCB – Inspired by patients. Driven by science.

At UCB, we put our heart, soul and skills into making a difference for people living with severe diseases. We're here because we want to transform patients’ lives by pushing the boundaries of what is possible.
To achieve our ambition, we welcome talented individuals with diverse backgrounds and experiences - not just the brightest minds, but those who truly care about making a meaningful difference.

With a team of approximately 7,500 employees and operations in more than 40 countries, we are a global biopharmaceutical company focused on creating value for people living with severe diseases in immunology and neurology.

We work with stakeholders to address the unmet needs of patients and caregivers, helping them to achieve their goals and to live the lives they want. UCB is on a journey to become the patient-preferred biopharma leader by delivering medicines and solutions that improve lives. Our commitment to value is a promise to bring together the talent, expertise, tools and scientific know-how required to serve patients in need.

UCB – The Facts
• 7500 people in 40 countries, with over 70 nationalities
• 49% women, 51% men
• ~25% of revenue invested in R&D
• Total revenue grew to €4.9 billion in 2019","Mission: UCB is on a journey to become the patient-preferred biopharma leader by delivering medicines and solutions that improve the lives of people living with severe diseases. We are guided by our purpose to create value for patients, now and into the future, and by the strong conviction that our work should contribute to having a meaningful impact on society. We care for our teams, the communities where we live and work, and the environment. ","UCB – Inspired by patients. Driven by science.

At UCB, we put our heart, soul and skills into making a difference for people living with severe diseases. We're here because we want to transform patients’ lives by pushing the boundaries of what is possible.
To achieve our ambition, we welcome talented individuals with diverse backgrounds and experiences - not just the brightest minds, but those who truly care about making a meaningful difference.

With a team of approximately 7,500 employees and operations in more than 40 countries, we are a global biopharmaceutical company focused on creating value for people living with severe diseases in immunology and neurology.

We work with stakeholders to address the unmet needs of patients and caregivers, helping them to achieve their goals and to live the lives they want. UCB is on a journey to become the patient-preferred biopharma leader by delivering medicines and solutions that improve lives. Our commitment to value is a promise to bring together the talent, expertise, tools and scientific know-how required to serve patients in need.

UCB – The Facts
• 7500 people in 40 countries, with over 70 nationalities
• 49% women, 51% men
• ~25% of revenue invested in R&D
• Total revenue grew to €4.9 billion in 2019Mission: UCB is on a journey to become the patient-preferred biopharma leader by delivering medicines and solutions that improve the lives of people living with severe diseases. We are guided by our purpose to create value for patients, now and into the future, and by the strong conviction that our work should contribute to having a meaningful impact on society. We care for our teams, the communities where we live and work, and the environment. ",1
CareCentrix,1001 to 5000 Employees,"Hartford, CT",Health Care Services & Hospitals,3.9,4.4,4.0,3.8,3.7,3.9,3.6,343,"Who We Are
CareCentrix is committed to making the home the center of patient care.

We have more than 20 years of experience working with payors and providers to create programs that improve quality and lower costs by allowing patients to heal or age where they want to be: at home. We currently manage care for 26 million members through over 8,000 provider locations.

Through advanced analytics, we determine the appropriate site for post-acute care, and provide support and coordination for patients and their families throughout care transitions, including to and from Skilled Nursing Facilities (SNFs) and through Home Health, Home DME, Home Infusion, and Home Sleep services.","Mission: We improve patients’ lives by delivering innovative home health solutions that produce better outcomes and reduce overall costs through partnerships with providers and payors.

Our Vision: A world where anyone can heal or age at home.

Our Values:
We care.
We do the right thing.
We strive for excellence.
We think BIG.
We take our work seriously, but not ourselves.","Who We Are
CareCentrix is committed to making the home the center of patient care.

We have more than 20 years of experience working with payors and providers to create programs that improve quality and lower costs by allowing patients to heal or age where they want to be: at home. We currently manage care for 26 million members through over 8,000 provider locations.

Through advanced analytics, we determine the appropriate site for post-acute care, and provide support and coordination for patients and their families throughout care transitions, including to and from Skilled Nursing Facilities (SNFs) and through Home Health, Home DME, Home Infusion, and Home Sleep services.Mission: We improve patients’ lives by delivering innovative home health solutions that produce better outcomes and reduce overall costs through partnerships with providers and payors.

Our Vision: A world where anyone can heal or age at home.

Our Values:
We care.
We do the right thing.
We strive for excellence.
We think BIG.
We take our work seriously, but not ourselves.",1
"Egencia
Part of Expedia Group",1001 to 5000 Employees,"Bellevue, WA",Travel Agencies,3.9,4.3,4.1,4.2,3.2,4.1,3.5,264,"Egencia makes every business trip count for travelers and travel managers. The travel management company’s industry-leading technology platform simplifies the process of planning, booking and managing business travel. Relying on timely, data-driven insights from Egencia, businesses stay one step ahead by making choices that align with traveler preference and corporate policy. A dedicated team of travel consultants is ready to assist every step of the way, whenever and wherever needed. Egencia serves small, mid-cap and multi-national companies in more than 65 countries. To connect with Egencia, visit egencia.com or @Egencia. Follow along on our blog (https://www.egencia.com/public/us/category/blog).", ,"Egencia makes every business trip count for travelers and travel managers. The travel management company’s industry-leading technology platform simplifies the process of planning, booking and managing business travel. Relying on timely, data-driven insights from Egencia, businesses stay one step ahead by making choices that align with traveler preference and corporate policy. A dedicated team of travel consultants is ready to assist every step of the way, whenever and wherever needed. Egencia serves small, mid-cap and multi-national companies in more than 65 countries. To connect with Egencia, visit egencia.com or @Egencia. Follow along on our blog (https://www.egencia.com/public/us/category/blog). ",1
